"","colnames.base_estacionaria.","tipo","test"
"92","Consumo.aparente...derivados.de.petróleo...outros...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_CODP12",0,1
"93","Consumo.aparente...óleo.combustível...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_COLCOM12",0,1
"94","Consumo.aparente...óleo.diesel...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_COLDIE12",0,1
"95","Faturamento.real...indústria...índice..média.2006...100........Confederação.Nacional.da.Indústria...CNI12_VENREA12",0,1
"96","Faturamento.real...indústria...índice.dessaz...média.2006...100........Confederação.Nacional.da.Indústria...CNI12_VENRED12",0,1
"97","Consumo.aparente...gás.GLP...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_CGLP12",0,1
"98","Faturamento.real...indústria....índice...RJ....média.2006...100........Federação.das.Indústrias.do.Estado.do.Rio.de.Janeiro..Assessoria.de.Pesquisas.Econômicas..Firjan....FIRJAN12_FATREALRJ12",0,1
"99","Vendas.reais...indústria...índice..média.2006...100....SP.......Federação.e.Centro.das.Indústrias.do.Estado.de.São.Paulo..Levantamento.de.Conjuntura..Fiesp....FIESP12_TVR12",0,1
"100","Vendas.nominais...varejo...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_IVVN12",0,1
"101","Vendas.reais...varejo...artigos.farma...méd...ortoped..e.perfum....índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRFARMSA12",2,1
"102","Vendas.reais...varejo...escritório..informática.e.comunicação...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRINFOSA12",2,1
"103","Vendas.reais...varejo...combustíveis.e.lubrificantes...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRCOMB12",0,1
"104","Vendas.reais...varejo...hipermercados..prod..alim..bebida.e.fumo...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRSUP12",0,1
"105","Vendas.reais...varejo...hipermercados.e.superm....índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRSUPT12",0,1
"106","Vendas.nominais...varejo...tecidos..vestuário.e.calçados...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNVEST12",0,1
"107","Vendas.nominais...varejo...móveis.e.eletrodomésticos.índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNELETR12",0,1
"108","Vendas.nominais...varejo...veículos..motos..partes.e.peças...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VNVEIC12",0,1
"109","Vendas.reais...varejo...combustíveis.e.lubrificantes...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRCOMBSA12",0,1
"110","Vendas.reais...varejo...hipermercados..prod..alim...bebida.e.fumo...índice.dessaz..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRSUPSA12",0,1
"111","Vendas.reais...varejo...hipermercados.e.superm....índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRSUPTSA12",0,1
"112","Vendas.reais...varejo...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_IVVR12",0,1
"113","Vendas.reais...varejo...livros..jornais..revistas.e.papelaria...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRJORSA12",2,1
"114","Vendas.reais...varejo...outros.artigos.de.uso.pessoal.e.doméstico...índice.dessaz..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VROUTSA12",2,1
"115","Vendas.reais...varejo...tecidos..vestuário.e.calçados...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRVEST12",0,1
"116","Vendas.reais...varejo...móveis.e.eletrodomésticos...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRELETR12",0,1
"117","Vendas.reais...varejo...veículos..motos..partes.e.peças...índice..média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRVEIC12",0,1
"118","Vendas.reais...varejo...veículos..motos..partes.e.peças...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRVEICSA12",0,1
"119","Vendas.reais...varejo...tecidos..vestuário.e.calçados...índice.dessaz...média.2014...100........Instituto.Brasileiro.de.Geografia.e.Estatística..Pesquisa.Mensal.de.Comércio..IBGE.PMC....PMC12_VRVESTSA12",0,1
